trafikia;dynniq;kod;sweref_99_x;sweref_99_y
75797;E18 Täbystråket ,Frescati mot täby;C 7a;673685;6584424
75798;E18 Täbystråket,Frescati mot stockholm;C 7b;673575;6584509
75795;Väg 226 Salemstråket Huddinge mellan Stuvstaleden - Rågsvid;C 6a;671652;6571949
75796;Väg 226 Salemstråket Huddinge mellan Rågsvid - Stuvstaleden;C 6b;671628;6571969
75802;Väg 226 Salemstråket Tumba/Tullinge mellan Skyttbrink - Tullinge;C 10;664296;6565902
75801;Väg 259 Glömstastråket mellan gamla Tullingevägen - Katrinebergsväge;C 9;667967;6569455
75793;Väg 260 Vendelsöstråket mellan Hårds backe - Skrubba malmväg;C 5;682210;6570363
75799;.Väg 260 Ältastråket, Järlaleden mellan Nackarodellen  -  Tpl Lugnet;C 8a;677219;6578318
75800;Järlaleden  mellan cirkulationsplats Gillevägen/Siroccogatan och cirkulation Planiavägen;C 8b;678055;6578145
75794;Väg 260 Ältastråket Nackanäs  mellan Hästhagskurvan - Nysätra,;C 4;679028;6577753
75792;Väg 261 Ekeröstråket mot Drottningsbron;C 3;664854;6579762
75804;Väg 262 Edsvikenstråket mellan Sjöbergsvägen - Fasanvägen;12 Blandtrafik;670251;6591142
75803;Väg 545 Nynäshamnsstråket mellan stavsvägen - kolberg;11 Blandtrafik;676768;6553958
75791;Väg 841 Kungsängenstråket mellan bron - E18;C 2;657846;6596322
75790;Väg 859 Märstastråket mellan Rosersberg - Märsta;C 1;662933;6609938